장소,분류,운영시간,관광추천시간,주소
선돌,"도시 랜드 마크, 지질 명소, 협곡",정보없음,정보없음,강원도 영월 영월읍 선돌길 137 (우) 26226
의암호,,정보없음,정보없음,대한민국 강원 춘천시
인공폭포,"폭포, 수자원 시설",정보없음,정보없음,강원도 춘천시 신북읍 천전리
용화산자연휴양림,,정보없음,정보없음,강원도 춘천시 사북면 사여골길 294
설악불한증막,,정보없음,정보없음,강원도 양양군 강현면 강선리 26
천진해수욕장,"테마 거리, 해변",6:00-12:00 영업,정보없음,토성면 천진리 | 강원도 고성군 천진해변길 24764
한레저,,정보없음,정보없음,대한민국 철원군
타미드 엘림,,정보없음,정보없음,강원도 홍천군 홍천읍 삼마치리 793
그랜드볼링센타,,정보없음,정보없음,강원도 강릉시 포남동 1151
녹수사우나,,정보없음,정보없음,강원도 강릉 내곡동 461-5
자연과사람찜질방,,정보없음,정보없음,강원도 강릉 구정면 제비리 1002
등대해수욕장,,정보없음,정보없음,강원도 속초 장안로3길 24822
책과인쇄박물관,,정보없음,정보없음,강원도 춘천 신동면 풍류1길 156 (우) 24412
호야 지리 박물관,,정보없음,정보없음,강원도 영월군 수주면 무릉리 1090-6
산채으뜸마을,,정보없음,정보없음,강원도 평창군 평창읍 대골길 5 (우) 25379
죽도해변,해변,00:00-23:59 영업,정보없음,대한민국 양양군
뇌운계곡,,정보없음,정보없음,강원도 평창군 평창읍 노은리
용소폭포,,정보없음,정보없음,강원도 양양군 오색리 서면
캔디서프,,정보없음,정보없음,대한민국 강원도 양양군 현남면 인구중앙길 93 KR
장전계곡,,정보없음,정보없음,강원도 평창군 진부면 장전리 25338
막동계곡,,정보없음,정보없음,강원도 평창군 진부면 화의리 25338
수에스테틱,,정보없음,정보없음,강원도 삼척 남양동 331-5
영풍볼링장,,정보없음,정보없음,강원도 동해 천곡동 1024
하정사우나,,정보없음,정보없음,강원도 태백 황지동 13-7
매봉산 풍력발전단지,테마 거리,정보없음,정보없음,강원도 태백시 화전동
상문탕,,정보없음,정보없음,강원도 고성군 고성읍 서외리 30-2
부곡계곡,,정보없음,정보없음,강원도 횡성군 강림면 부곡리
유성볼링센터,,정보없음,정보없음,경기도 화성 일산동 333-3
도사곡 휴양림,,정보없음,정보없음,강원도 정선군 사북읍 사북리 447-1
철원종합문화복지센터,,정보없음,정보없음,강원도 철원군 철원읍 화지4리 693
만항재,하이킹,정보없음,정보없음,영월군 만항재
루지월드,오락실,정보없음,정보없음,강원도 홍천군 서면 한치골길 262 (우) 25102
병지방계곡,,정보없음,정보없음,강원도 횡성군 갑천면 병지방리
고성문화체육센터,,정보없음,정보없음,경상남도 고성군 고성읍 기월리 83-10
양구펀치볼지구,,정보없음,정보없음,강원도 양구군 한면 회리 622
반곡역,사적지,연중무휴,정보없음,강원도 원주시 나카야동 154
오색약수터,도시 랜드 마크,00:00-23:59 영업,정보없음,강원도 서면군 고서리
삼척시립박물관,,정보없음,정보없음,강원도 삼척시 성남동 167-8
설악씨네라마,,정보없음,정보없음,강원도 속초시 쇼샤동 24-1
관동하키센터,아이스링크장,정보없음,정보없음,강원도 강릉시 야동 522
소지섭길(두타연갤러리),,정보없음,정보없음,강원도 양구군 팡산면 공산리 229
건봉사,,정보없음,정보없음,강원도 교쓰군 교카와리 36
최규하대통령생가,,정보없음,정보없음,강원도 원주시 봉산동 833-1
동강생태공원,,정보없음,정보없음,강원도 영월군 영월읍 삼재리 896
소노벨비발디파크,야외 스키,0.5-1일,정보없음,대한민국 강원도 홍천군 서면 한치골길 262
오크밸리스노우파크,야외 스키,0.5-1일,정보없음,강원도 원주시 정지면 판대리 산1-1
마식령 스키장,,정보없음,정보없음,"Unnamed Road, Kangwon"
옥원소공원,,정보없음,정보없음,강원도 삼척시 원덕읍 옥원리
원통중앙공원,,정보없음,정보없음,강원도 인제군 북면 원통리
내린천공원,,정보없음,정보없음,강원도 인제군 인제읍 고사리
두위봉야생화공원,,정보없음,정보없음,강원도 정선군 남면 무릉리
사북생활체육공원,,정보없음,정보없음,강원도 정선군 사북읍 사북리 359-2
동강생태공원,,정보없음,정보없음,강원도 정선군 정선읍 광하리 16 강원도 정선군 정선읍 동강로 2914
녹송공원,,정보없음,정보없음,강원도 정선군 정선읍 봉양리
가마골생태공원,,정보없음,정보없음,강원도 춘천시 동면 월곡리
너울숲공원,,정보없음,정보없음,강원도 춘천시 동면 장학리
곰도리공원,,정보없음,정보없음,강원도 춘천시 막사동
석사공원,,정보없음,정보없음,강원도 춘천시 막사동
스무숲솔빛공원,,정보없음,정보없음,강원도 춘천시 마스터동 894
춘천시환경공원,,정보없음,정보없음,강원도 춘천시 신동면 허동리
철길따라공원,,정보없음,정보없음,강원도 춘천시 퇴계동
대룡공원,,정보없음,정보없음,강원도 춘천시 퇴계동
무릉공원,,정보없음,정보없음,강원도 춘천시 퇴계동
춘천평화생태공원,,정보없음,정보없음,강원도 춘천시 평화로 25 강원도 춘천시 근화동 199 봄내체육관
지성 공원,,정보없음,정보없음,대한민국 강원도 춘천시 백령로
쥴장루이공원,,정보없음,정보없음,강원도 홍천군 두촌면 장남리 219-1
희망나눔쉼터공원,,정보없음,정보없음,강원도 홍천군 홍천읍 호프리
주문진 등대,등대,정보없음,정보없음,강원도 강릉 주문진읍 예등대길 24-7 (우) 25411
속삭이는 자작나무 숲,숲,9:00-17:00 영업,정보없음,강원도 인제 인제읍 자작나무숲길 760 (우) 24639
Hanseo Daejungtang,,정보없음,정보없음,강원도 속초 교동 619-21
Pyeongchang Stone Park,,정보없음,정보없음,강원도 평창군 평창읍 중리 8-3
VIVALDI PARK C.C,,정보없음,정보없음,강원도 홍천군 서면 한치골길 200
Oak Valley C.C,,정보없음,정보없음,강원도 원주시 정지면 오크밸리1길 66
ROMYZIAN Garden,숲,10:00-17:00 영업,정보없음,"12 Eodowon-gil, Bukpyeong-myeon, Jeongseon-gun, Gangwon-do"
Oeongchi Bada Hyangiro,,정보없음,정보없음,"Daepohang-gil, Sokcho, Gangwon-do 24899 South Korea"
Heundeul Bawi,,정보없음,정보없음,"1091, Seoraksan-ro Seoraksan National Park Gyejoam Temple, Sokcho, Gangwon-do 24903 South Korea"
Baekseok Falls,,정보없음,정보없음,"412, Odaecheon-ro, Bukpyeong-myeon, Jeongseon-gun, Gangwon-do 26100 South Korea"
Wonju Station Water Tower,,정보없음,정보없음,"Wonju Station Water Tower 158 Pyeongwon-ro, Wonju, Gangwon-do 26414 South Korea"
Wonju Gangwon Gamyoung,,정보없음,정보없음,"85, Wonil-ro, Wonju, Gangwon-do South Korea"
Sampo Beach,,정보없음,정보없음,"1-1, Sampo-ri, Jugwang-myeon, Goseong-gun, Gangwon-do South Korea"
Gangchon Yuwonji,,정보없음,정보없음,"Namsan-myeon, Chuncheon, Gangwon-do South Korea"
Geumgangsan Bowling Alley,,정보없음,정보없음,부산 동송읍 이평리 861-126
Samcheok Bowling Alley,,정보없음,정보없음,대구 남양동 94-10
O2 Resort – Taebaek,,정보없음,정보없음,강원도 태백시 황지동 132-1
Jade Palace G.C,,정보없음,정보없음,강원도 춘천시 남산면 경춘로 212-30
UR Culture Park,,정보없음,정보없음,대한민국 강원도 원주시 지정면 지정로 912 KR
Yeongnangho Lake,도시 공원,정보없음,정보없음,"140, Yeongnanghoban-gil, Sokcho, Gangwon-do South Korea"
Daepo Port,도시 랜드 마크,정보없음,정보없음,"Daepo-dong, Sokcho, Gangwon-do South Korea"
Chiak Mountain Hiking Trail,,정보없음,정보없음,"26, Musoejeom 2-gil, Socho-myeon Hwanggol Visitor Center, Wonju, Gangwon-do 26304 South Korea"
Geumhaksan,,정보없음,정보없음,"301, Yeokjeonpyeong-ri, Bukbang-myeon, Hongcheon-gun, Gangwon-do South Korea"
Gyeongpo Water Dream Land,,정보없음,정보없음,"23-9, Gangmoon-dong, Gangneung, Gangwon-do South Korea"
Taegi San,,정보없음,정보없음,"Cheongil-ro, Cheongil-myeon, Hoengseong-gun, Gangwon-do 25255 South Korea"
Osaek Jujeongol Valley,"하이킹/사이클링, 하이킹/사이클링",정보없음,정보없음,"Osaek-ri, Seo-myeon Seoraksan National Park, Yangyang-gun, Gangwon-do 215-814 South Korea"
Gyeongpo Solhyang Oncheon,,정보없음,정보없음,"292, Haean-ro, Gangneung, Gangwon-do South Korea"
